Attribute Name,Numeric Values,Attribute Value (Item Attribute Values),Abbreviation (Item Attribute Values)
Amperage,0,10 AMP (EGRAND),10 AMP (EGRAND)
Amperage,0,10 AMP (MP L&T),10 AMP (MP L&T)
Amperage,0,100 AMP,100 AMP
Amperage,0,100 AMP (EGRAND),100 AMP (EGRAND)
Amperage,0,100 AMP (MP L&T),100 AMP (MP L&T)
Amperage,0,150 AMP (EGRAND),150 AMP (EGRAND)
Amperage,0,150 AMP (MP L&T),150 AMP (MP L&T)
Amperage,0,16 AMP,16 AMP
Amperage,0,16 AMP ( IP 44),16 AMP ( IP 44)
Amperage,0,16 AMP ( IP 67),16 AMP ( IP 67)
Amperage,0,16 AMP (ANCHOR),16 AMP (ANCHOR)
Amperage,0,16 AMP (EGRAND),16 AMP (EGRAND)
Amperage,0,16 AMP (LE L&T),16 AMP (LE L&T)
Amperage,0,16 AMP (MP L&T),16 AMP (MP L&T)
Amperage,0,20 AMP (ANCHOR),20 AMP (ANCHOR)
Amperage,0,20 AMP (EGRAND),20 AMP (EGRAND)
Amperage,0,20 AMP (LE L&T),20 AMP (LE L&T)
Amperage,0,20 AMP (MP L&T),20 AMP (MP L&T)
Amperage,0,200 AMP,200 AMP
Amperage,0,200 AMP (EGRAND),200 AMP (EGRAND)
Amperage,0,200 AMP (MP L&T),200 AMP (MP L&T)
Amperage,0,32 AMP,32 AMP
Amperage,0,32 AMP ( IP 44),32 AMP ( IP 44)
Amperage,0,32 AMP ( IP 67),32 AMP ( IP 67)
Amperage,0,32 AMP (EGRAND),32 AMP (EGRAND)
Amperage,0,32 AMP (LE L&T),32 AMP (LE L&T)
Amperage,0,32 AMP (MP L&T),32 AMP (MP L&T)
Amperage,0,40 AMP (EGRAND),40 AMP (EGRAND)
Amperage,0,40 AMP (MP L&T),40 AMP (MP L&T)
Amperage,0,6 AMP (ANCHOR),6 AMP (ANCHOR)
Amperage,0,6 AMP (EGRAND),6 AMP (EGRAND)
Amperage,0,6 AMP (MP L&T),6 AMP (MP L&T)
Amperage,0,6 AMP (X2 PIN),6 AMP (X2 PIN)
Amperage,0,6 AMP (X3 PIN),6 AMP (X3 PIN)
Amperage,0,60 AMP (EGRAND),60 AMP (EGRAND)
Amperage,0,60 AMP (MP L&T),60 AMP (MP L&T)
Amperage,0,63 AMP,63 AMP
Amperage,0,64 AMP (EGRAND),64 AMP (EGRAND)
Amperage,0,64 AMP (LE L&T),64 AMP (LE L&T)
Amperage,0,80 AMP (EGRAND),80 AMP (EGRAND)
Amperage,0,80 AMP (MP L&T),80 AMP (MP L&T)
Brand,0,ASHIRVAD,ASHIRVAD
Brand,0,ASIAN ( ASIAN),ASIAN ( ASIAN)
Brand,0,ASIAN ( BIRLA),ASIAN ( BIRLA)
Brand,0,ASTRAL,ASTRAL
Brand,0,BERGER,BERGER
Brand,0,CERA,CERA
Brand,0,CERA (K CERA),CERA (K CERA)
Brand,0,CERA (L CERA),CERA (L CERA)
Brand,0,CERA (Y CERA),CERA (Y CERA)
Brand,0,DUTRON,DUTRON
Brand,0,JAQUAR,JAQUAR
Brand,0,JAQUAR (1 CERA),JAQUAR (1 CERA)
Brand,0,JAQUAR (3 CERA),JAQUAR (3 CERA)
Brand,0,JAQUAR (7 CERA),JAQUAR (7 CERA)
Brand,0,JAQUAR (E CERA),JAQUAR (E CERA)
Brand,0,JAQUAR (JAQUAR),JAQUAR (JAQUAR)
Brand,0,JAQUAR (N CERA),JAQUAR (N CERA)
Brand,0,JAQUAR (R CERA),JAQUAR (R CERA)
Brand,0,JAQUAR (r CERA),JAQUAR (r CERA)
Brand,0,JOHNSON,JOHNSON
Brand,0,JOHNSON (OHNSON),JOHNSON (OHNSON)
Brand,0,KEROVIT,KEROVIT
Brand,0,KEROVIT (EROVIT),KEROVIT (EROVIT)
Brand,0,NEROLACK,NEROLACK
Brand,0,RAKSHA,RAKSHA
Brand,0,SUPREME,SUPREME
Brick Type,0,"FLY ASH (ASH 4"")","FLY ASH (ASH 4"")"
Brick Type,0,"FLY ASH (ASH 6"")","FLY ASH (ASH 6"")"
Brick Type,0,"RED (RED 4"")","RED (RED 4"")"
Brick Type,0,"RED (RED 6"")","RED (RED 6"")"
Capacity,0,1 TON,1 TON
Capacity,0,100 AH,100 AH
Capacity,0,1000 LTR,1000 LTR
Capacity,0,10000 LTR,10000 LTR
Capacity,0,120 AH,120 AH
Capacity,0,150 AH,150 AH
