Item Code,Item Group,Default Unit of Measure,Has Variants,Maintain Stock,Is Fixed Asset,Asset Category,Brand,Description,End of Life,Shelf Life In Days,Variant Of,Variant Based On,Safety Stock,Lead Time in days,HSN/SAC,Attribute (Variant Attributes),Attribute Value (Variant Attributes)
CUBE MOULD 150X150X150MM,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,CUBE MOULD,Item Attribute,50.0,7,90318000,Dimensions,150X150X150MM
TAMPING ROAD,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,2.0,7,90318000,,
SLUM CONE,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,20.0,7,90318000,,
GI CONCRETE TRAY  600X600MM,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,CONCRETE TRAY,Item Attribute,1.0,7,90318000,Dimensions,600X600MM
GI CONCRETE TRAY  450X450MM,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,CONCRETE TRAY,Item Attribute,1.0,7,90318000,Dimensions,450X450MM
MOISTURE METER,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
GI SIEVES SET,QA/QC EQUIPMENT,Set,0,1,0,,,,,,SIEVES SET,Item Attribute,1.0,7,90318000,Material Type,GI
BRASS SIEVES SET 20/75MM,QA/QC EQUIPMENT,Set,0,1,0,,,,,,SIEVES SET,Item Attribute,1.0,7,90318000,Material Type,BRASS
DIGITAL THERMOMETER PROBE TYPE,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
HOT PLATE,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
HOT AIR OVEN 14x14x14MS,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
DIGITAL MICROMETER SCREW GAUGE 0.25MM,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
DIGITAL VERNIER CALIPER 0.3,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
VICATE NEEDLE APPARATUS,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
BOROSILICATE BEAKER 250 ML,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
MEASURING CYLINDER-P 1000 ML,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
SAND POURING CYLINDER 100 MM,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,25051000,,
LASER DISTANCE MEER RT 100 M,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
STANDARD SAND GRADE-II 1MM to 0.6MM,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,25051000,,
CUBE MOULDS 75x75x75MM,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,CUBE MOULD,Item Attribute,6.0,7,90318000,Dimensions,75X75
DIGITAL DISPLAY WATER HEATER 230VCURING TANK,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
AMMETERS/OHM METER/VOLT METER,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
WIRE GAUGE,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
WATER HEATER COIL 3KW,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
FLOW TABLE WITH CONE 900X900 MM,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
RAIN GAUGE WITH MEASURING GLASS,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
FRAYING PAN,QA/QC EQUIPMENT,Nos,0,1,0,,,,,,,,1.0,7,90318000,,
CFDM COURTYARD LIME BORDER 150X300,CONSUMABLE,Box,0,1,0,,,,,,,,1.0,7,68109900,,
BEDSHET,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
PILLOW COVER,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
PILLOW,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
DUST PAN,CONSUMABLE,Nos,0,1,0,,,,,,,,2.0,7,68109900,,
TOWEL SMALL,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
TEA CUPS SETS,CONSUMABLE,Nos,0,1,0,,,,,,,,6.0,7,68109900,,
STEEL PLATES,CONSUMABLE,Nos,0,1,0,,,,,,,,6.0,7,72139900,,
GLASS,CONSUMABLE,Nos,0,1,0,,,,,,,,6.0,7,68109900,,
STEEL GLASS COVER,CONSUMABLE,Nos,0,1,0,,,,,,,,2.0,7,72139900,,
BOWL,CONSUMABLE,Nos,0,1,0,,,,,,,,6.0,7,68109900,,
RUBBER MAT,CONSUMABLE,Nos,0,1,0,,,,,,MAT,Item Attribute,1.0,7,68109900,Material Type,RUBBER
MAT 6'X4',CONSUMABLE,Nos,0,1,0,,,,,,MAT,Item Attribute,1.0,7,68109900,Dimensions,6'X4'
MATRIX BED 6'X3',CONSUMABLE,Nos,0,1,0,,,,,,MATRIX BED,Item Attribute,1.0,7,68109900,Dimensions,6'X3'
WOODEN HANDLE FOR HAMMER,HARDWARE,Nos,0,1,0,,,,,,WOODEN HANDLE,Item Attribute,24.0,7,68109900,Fits,HAMMER
TOILET BRUSH,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
HARPIC,CONSUMABLE,Litre,0,1,0,,,,2027-12-31,730.0,,,1.0,7,68109900,,
COTTON ROPE 6 MM,CONSUMABLE,Kg,0,1,0,,,,,,COTTON ROPE,Item Attribute,25.0,7,68109900,Diameter,6MM
COTTON ROPE 8 MM,CONSUMABLE,Kg,0,1,0,,,,,,COTTON ROPE,Item Attribute,25.0,7,68109900,Diameter,8MM
COTTON ROPE 10 MM,CONSUMABLE,Kg,0,1,0,,,,,,COTTON ROPE,Item Attribute,25.0,7,68109900,Diameter,10MM
COTTON ROPE 12 MM,CONSUMABLE,Kg,0,1,0,,,,,,COTTON ROPE,Item Attribute,50.0,7,68109900,Diameter,12MM
COTTON ROPE 16 MM,CONSUMABLE,Kg,0,1,0,,,,,,COTTON ROPE,Item Attribute,100.0,7,68109900,Diameter,16MM
COTTON ROPE 18 MM,CONSUMABLE,Kg,0,1,0,,,,,,COTTON ROPE,Item Attribute,0.0,7,68109900,Diameter,18MM
COTTON ROPE 20 MM,CONSUMABLE,Kg,0,1,0,,,,,,COTTON ROPE,Item Attribute,50.0,7,68109900,Diameter,20MM
FOAMSHEET 2 MM,CONSUMABLE,Nos,0,1,0,,,,,,FOAMSHEET,Item Attribute,50.0,7,68109900,Thickness,2MM
FOAMSHEET 3 MM,CONSUMABLE,Nos,0,1,0,,,,,,FOAMSHEET,Item Attribute,100.0,7,68109900,Thickness,3MM
FOAMSHEET 4 MM,CONSUMABLE,Nos,0,1,0,,,,,,FOAMSHEET,Item Attribute,50.0,7,68109900,Thickness,4MM
FOAMSHEET 5 MM,CONSUMABLE,Nos,0,1,0,,,,,,FOAMSHEET,Item Attribute,50.0,7,68109900,Thickness,5MM
TURN BUCKLE,CONSUMABLE,Nos,0,1,0,,,,,,,,10.0,7,68109900,,
ADHESIVE PASTE,CONSUMABLE,Litre,0,1,0,,,,2026-12-31,365.0,,,5.0,7,68109900,,
AIR FRESHINER DISPENSER,CONSUMABLE,Nos,0,1,0,,,,2026-12-31,730.0,,,1.0,7,68109900,,
AIR RFESHNER,CONSUMABLE,Nos,0,1,0,,,,2026-12-31,730.0,,,1.0,7,68109900,,
BATTERIES CELL,CONSUMABLE,Nos,0,1,0,,,,,,,,3.0,7,68109900,,
HAND SANITIZER,CONSUMABLE,Litre,0,1,0,,,,,,,,5.0,7,68109900,,
PAPER CUPS,CONSUMABLE,Nos,0,1,0,,,,,,,,50.0,7,68109900,,
PLANTS CLEANING & SHINNING SPARY,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
PLANTS POTS-,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
PLANTS POTS ROUND,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
PLASTIC SHEETS BLACK,CONSUMABLE,Kg,0,1,0,,,,,,PLASTIC SHEET,Item Attribute,50.0,7,68109900,Color,BLACK
PLASTIC SHEETS FOR PACKING & WRAPPING,CONSUMABLE,Kg,0,1,0,,,,,,PLASTIC SHEET,Item Attribute,1.0,7,68109900,Type,S FOR PACKING & WRAPPING
PAPER PLATE,CONSUMABLE,Nos,0,1,0,,,,,,,,20.0,7,68109900,,
SAFETY PINS,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
SALT,CONSUMABLE,Kg,0,1,0,,,,,,,,20.0,7,68109900,,
SIGN BOARD,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
SiLICON TUBE,CONSUMABLE,Nos,0,1,0,,,,2026-06-30,180.0,,,1.0,7,68109900,,
WHITE CEMENT,CONSUMABLE,Bags,0,1,0,,,,2026-06-30,180.0,CEMENT,Item Attribute,50.0,7,25232100,Cement Type,WHITE CEMENT
CLEANING POWDER/NIRMA POWDER,CONSUMABLE,Kg,0,1,0,,,,2026-12-31,365.0,,,1.0,7,68109900,,
GLUE,CONSUMABLE,Kg,0,1,0,,,,,,,,1.0,7,68109900,,
FEVICOL,CONSUMABLE,Kg,0,1,0,,,,,,,,1.0,7,68109900,,
WATER PAPER 3M,CONSUMABLE,Nos,0,1,0,,,,,,,,1.0,7,68109900,,
COVER BLOCK PLASTIC,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,1.0,7,68109900,Shape,PLASTIC
GYPSUM BOARD,CONSUMABLE,Square Foot,0,1,0,,,,,,,,100.0,7,68109900,,
CEMENT BOARD,CONSUMABLE,Square Foot,0,1,0,,,,,,,,100.0,7,25232100,,
EXPANSION JOINT SHEET 25 MM,CONSUMABLE,Square Foot,0,1,0,,,,,,EXPANSION JOINT SHEET,Item Attribute,200.0,7,68109900,Size,25MM
EXPANSION JOINT SHEET 50 MM,CONSUMABLE,Square Foot,0,1,0,,,,,,EXPANSION JOINT SHEET,Item Attribute,200.0,7,68109900,Size,50MM
EXPANSION JOINT SHEET 75 MM,CONSUMABLE,Square Foot,0,1,0,,,,,,EXPANSION JOINT SHEET,Item Attribute,200.0,7,68109900,Size,75MM
EXPANSION JOINT SHEET 100 MM,CONSUMABLE,Square Foot,0,1,0,,,,,,EXPANSION JOINT SHEET,Item Attribute,200.0,7,68109900,Size,100MM
EXPANSION JOINT SHEET 125 MM,CONSUMABLE,Square Foot,0,1,0,,,,,,EXPANSION JOINT SHEET,Item Attribute,100.0,7,68109900,Size,125MM
EXPANSION JOINT SHEET 150 MM,CONSUMABLE,Square Foot,0,1,0,,,,,,EXPANSION JOINT SHEET,Item Attribute,100.0,7,68109900,Size,150MM
PU FOAM,CONSUMABLE,Nos,0,1,0,,,,,,,,6.0,7,68109900,,
DIESEL,CONSUMABLE,Litre,0,1,0,,,,,,,,200.0,7,27101941,,
CURING COMPOUND,CONSUMABLE,Litre,0,1,0,,,,2026-12-31,365.0,,,20.0,7,68109900,,
COVER BLOCKS SQUARE 20 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,SQUARE ( 20 MM)
COVER BLOCKS SQUARE 20/25 MM ZS,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,SQUARE ( MM ZS)
COVER BLOCKS SQUARE 25 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,SQUARE ( 25 MM)
COVER BLOCKS SQUARE 30 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,SQUARE ( 30 MM)
COVER BLOCKS SQUARE 40 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,SQUARE ( 40 MM)
COVER BLOCKS ROUND 20 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,ROUND ( 20 MM)
COVER BLOCKS ROUND 25 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,ROUND ( 25 MM)
COVER BLOCKS ROUND 30 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,ROUND ( 30 MM)
COVER BLOCKS ROUND 40 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,ROUND ( 40 MM)
COVER BLOCKS ROUND 50 MM ZF,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,ROUND ( MM ZF)
COVER BLOCKS ROUND 50 MM ZR,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,ROUND ( MM ZR)
COVER BLOCKS ROUND 60 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,ROUND ( 60 MM)
COVER BLOCKS ROUND 75 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Shape,ROUND ( 75 MM)
CONCRETE SPACER  30X30X200 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Dimensions,30X30 (200 MM)
CONCRETE SPACER  30X30X250 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Dimensions,30X30 (250 MM)
CONCRETE SPACER  30X30X300 MM,CONSUMABLE,Nos,0,1,0,,,,,,COVER BLOCKS,Item Attribute,500.0,7,68109900,Dimensions,30X30 (300 MM)
TILES GROUT BLACK,CONSUMABLE,Kg,0,1,0,,,,,,TILES GROUT,Item Attribute,50.0,15,68109900,Color,BLACK
TILES GROUT WHITE,CONSUMABLE,Kg,0,1,0,,,,,,TILES GROUT,Item Attribute,50.0,15,68109900,Color,WHITE
