"Row Numbers","Status","Message","Exception"
2,"Success","Successfully Imported CUBE MOULD 150X150X150MM",""
3,"Failure","[{""message"": ""Item <strong>TAMPING ROAD</strong> already exists"", ""title"": ""Duplicate Name"", ""indicator"": ""red""}]","Traceback (most recent call last):
  File ""apps/frappe/frappe/model/base_document.py"", line 576, in db_insert
    frappe.db.sql(
  File ""apps/frappe/frappe/database/database.py"", line 230, in sql
    self._cursor.execute(query, values)
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 153, in execute
    result = self._query(query)
             ^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 322, in _query
    conn.query(q)
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 563, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 825, in _read_query_result
    result.read()
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 1199, in read
    first_packet = self.connection._read_packet()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 775, in _read_packet
    packet.raise_for_error()
  File ""env/lib/python3.11/site-packages/pymysql/protocol.py"", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
  File ""env/lib/python3.11/site-packages/pymysql/err.py"", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.IntegrityError: (1062, ""Duplicate entry 'TAMPING ROAD' for key 'PRIMARY'"")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 149, in import_data
    doc = self.process_doc(doc)
          ^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 251, in process_doc
    return self.insert_record(doc)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 270, in insert_record
    new_doc.insert()
  File ""apps/frappe/frappe/model/document.py"", line 320, in insert
    self.db_insert(ignore_if_duplicate=ignore_if_duplicate)
  File ""apps/frappe/frappe/model/base_document.py"", line 603, in db_insert
    raise frappe.DuplicateEntryError(self.doctype, self.name, e)
frappe.exceptions.DuplicateEntryError: ('Item', 'TAMPING ROAD', IntegrityError(1062, ""Duplicate entry 'TAMPING ROAD' for key 'PRIMARY'""))
"
4,"Failure","[{""message"": ""Item <strong>SLUM CONE</strong> already exists"", ""title"": ""Duplicate Name"", ""indicator"": ""red""}]","Traceback (most recent call last):
  File ""apps/frappe/frappe/model/base_document.py"", line 576, in db_insert
    frappe.db.sql(
  File ""apps/frappe/frappe/database/database.py"", line 230, in sql
    self._cursor.execute(query, values)
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 153, in execute
    result = self._query(query)
             ^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 322, in _query
    conn.query(q)
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 563, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 825, in _read_query_result
    result.read()
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 1199, in read
    first_packet = self.connection._read_packet()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 775, in _read_packet
    packet.raise_for_error()
  File ""env/lib/python3.11/site-packages/pymysql/protocol.py"", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
  File ""env/lib/python3.11/site-packages/pymysql/err.py"", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.IntegrityError: (1062, ""Duplicate entry 'SLUM CONE' for key 'PRIMARY'"")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 149, in import_data
    doc = self.process_doc(doc)
          ^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 251, in process_doc
    return self.insert_record(doc)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 270, in insert_record
    new_doc.insert()
  File ""apps/frappe/frappe/model/document.py"", line 320, in insert
    self.db_insert(ignore_if_duplicate=ignore_if_duplicate)
  File ""apps/frappe/frappe/model/base_document.py"", line 603, in db_insert
    raise frappe.DuplicateEntryError(self.doctype, self.name, e)
frappe.exceptions.DuplicateEntryError: ('Item', 'SLUM CONE', IntegrityError(1062, ""Duplicate entry 'SLUM CONE' for key 'PRIMARY'""))
"
5,"Success","Successfully Imported GI CONCRETE TRAY  600X600MM",""
7,"Success","Successfully Imported GI CONCRETE TRAY  450X450MM",""
9,"Failure","[{""message"": ""Item <strong>MOISTURE METER</strong> already exists"", ""title"": ""Duplicate Name"", ""indicator"": ""red""}]","Traceback (most recent call last):
  File ""apps/frappe/frappe/model/base_document.py"", line 576, in db_insert
    frappe.db.sql(
  File ""apps/frappe/frappe/database/database.py"", line 230, in sql
    self._cursor.execute(query, values)
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 153, in execute
    result = self._query(query)
             ^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 322, in _query
    conn.query(q)
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 563, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 825, in _read_query_result
    result.read()
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 1199, in read
    first_packet = self.connection._read_packet()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 775, in _read_packet
    packet.raise_for_error()
  File ""env/lib/python3.11/site-packages/pymysql/protocol.py"", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
  File ""env/lib/python3.11/site-packages/pymysql/err.py"", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.IntegrityError: (1062, ""Duplicate entry 'MOISTURE METER' for key 'PRIMARY'"")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 149, in import_data
    doc = self.process_doc(doc)
          ^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 251, in process_doc
    return self.insert_record(doc)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 270, in insert_record
    new_doc.insert()
  File ""apps/frappe/frappe/model/document.py"", line 320, in insert
    self.db_insert(ignore_if_duplicate=ignore_if_duplicate)
  File ""apps/frappe/frappe/model/base_document.py"", line 603, in db_insert
    raise frappe.DuplicateEntryError(self.doctype, self.name, e)
frappe.exceptions.DuplicateEntryError: ('Item', 'MOISTURE METER', IntegrityError(1062, ""Duplicate entry 'MOISTURE METER' for key 'PRIMARY'""))
"
10,"Success","Successfully Imported GI SIEVES SET",""
11,"Success","Successfully Imported BRASS SIEVES SET 20/75MM",""
13,"Failure","[{""message"": ""Item <strong>DIGITAL THERMOMETER PROBE TYPE</strong> already exists"", ""title"": ""Duplicate Name"", ""indicator"": ""red""}]","Traceback (most recent call last):
  File ""apps/frappe/frappe/model/base_document.py"", line 576, in db_insert
    frappe.db.sql(
  File ""apps/frappe/frappe/database/database.py"", line 230, in sql
    self._cursor.execute(query, values)
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 153, in execute
    result = self._query(query)
             ^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 322, in _query
    conn.query(q)
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 563, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 825, in _read_query_result
    result.read()
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 1199, in read
    first_packet = self.connection._read_packet()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 775, in _read_packet
    packet.raise_for_error()
  File ""env/lib/python3.11/site-packages/pymysql/protocol.py"", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
  File ""env/lib/python3.11/site-packages/pymysql/err.py"", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.IntegrityError: (1062, ""Duplicate entry 'DIGITAL THERMOMETER PROBE TYPE' for key 'PRIMARY'"")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 149, in import_data
    doc = self.process_doc(doc)
          ^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 251, in process_doc
    return self.insert_record(doc)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 270, in insert_record
    new_doc.insert()
  File ""apps/frappe/frappe/model/document.py"", line 320, in insert
    self.db_insert(ignore_if_duplicate=ignore_if_duplicate)
  File ""apps/frappe/frappe/model/base_document.py"", line 603, in db_insert
    raise frappe.DuplicateEntryError(self.doctype, self.name, e)
frappe.exceptions.DuplicateEntryError: ('Item', 'DIGITAL THERMOMETER PROBE TYPE', IntegrityError(1062, ""Duplicate entry 'DIGITAL THERMOMETER PROBE TYPE' for key 'PRIMARY'""))
"
14,"Failure","[{""message"": ""Item <strong>HOT PLATE</strong> already exists"", ""title"": ""Duplicate Name"", ""indicator"": ""red""}]","Traceback (most recent call last):
  File ""apps/frappe/frappe/model/base_document.py"", line 576, in db_insert
    frappe.db.sql(
  File ""apps/frappe/frappe/database/database.py"", line 230, in sql
    self._cursor.execute(query, values)
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 153, in execute
    result = self._query(query)
             ^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/cursors.py"", line 322, in _query
    conn.query(q)
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 563, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 825, in _read_query_result
    result.read()
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 1199, in read
    first_packet = self.connection._read_packet()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""env/lib/python3.11/site-packages/pymysql/connections.py"", line 775, in _read_packet
    packet.raise_for_error()
  File ""env/lib/python3.11/site-packages/pymysql/protocol.py"", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
  File ""env/lib/python3.11/site-packages/pymysql/err.py"", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.IntegrityError: (1062, ""Duplicate entry 'HOT PLATE' for key 'PRIMARY'"")

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 149, in import_data
    doc = self.process_doc(doc)
          ^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 251, in process_doc
    return self.insert_record(doc)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""apps/frappe/frappe/core/doctype/data_import/importer.py"", line 270, in insert_record
    new_doc.insert()
  File ""apps/frappe/frappe/model/document.py"", line 320, in insert
    self.db_insert(ignore_if_duplicate=ignore_if_duplicate)
  File ""apps/frappe/frappe/model/base_document.py"", line 603, in db_insert
    raise frappe.DuplicateEntryError(self.doctype, self.name, e)
frappe.exceptions.DuplicateEntryError: ('Item', 'HOT PLATE', IntegrityError(1062, ""Duplicate entry 'HOT PLATE' for key 'PRIMARY'""))
"
