"Item Code","Item Group","Default Unit of Measure","Has Variants","Maintain Stock","Is Fixed Asset","Asset Category","Brand","Description","End of Life","Shelf Life In Days","Variant Of","Variant Based On","Safety Stock","Lead Time in days","HSN/SAC","Attribute (Variant Attributes)","Attribute Value (Variant Attributes)"
"TAMPING ROAD","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",2,7,90318000,"",""
"SLUM CONE","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",20,7,90318000,"",""
"MOISTURE METER","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"DIGITAL THERMOMETER PROBE TYPE","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"HOT PLATE","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"VICATE NEEDLE APPARATUS","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"DIGITAL DISPLAY WATER HEATER 230VCURING TANK","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"AMMETERS/OHM METER/VOLT METER","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"WIRE GAUGE","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"WATER HEATER COIL 3KW","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"RAIN GAUGE WITH MEASURING GLASS","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"FRAYING PAN","QA/QC EQUIPMENT","Nos",0,1,0,"","","","","","","",1,7,90318000,"",""
"PILLOW COVER","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"PILLOW","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"DUST PAN","CONSUMABLE","Nos",0,1,0,"","","","","","","",2,7,68109900,"",""
"TOWEL SMALL","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"TEA CUPS SETS","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"STEEL PLATES","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,72139900,"",""
"GLASS","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"STEEL GLASS COVER","CONSUMABLE","Nos",0,1,0,"","","","","","","",2,7,72139900,"",""
"BOWL","CONSUMABLE","Nos",0,1,0,"","","","","","","",6,7,68109900,"",""
"RUBBER MAT","CONSUMABLE","Nos",0,1,0,"","","","","","MAT","Item Attribute",1,7,68109900,"Material Type","RUBBER"
"TOILET BRUSH","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"HARPIC","CONSUMABLE","Litre",0,1,0,"","","","2027-12-31 00:00:00",730,"","",1,7,68109900,"",""
"TURN BUCKLE","CONSUMABLE","Nos",0,1,0,"","","","","","","",10,7,68109900,"",""
"ADHESIVE PASTE","CONSUMABLE","Litre",0,1,0,"","","","2026-12-31 00:00:00",365,"","",5,7,68109900,"",""
"AIR FRESHINER DISPENSER","CONSUMABLE","Nos",0,1,0,"","","","2026-12-31 00:00:00",730,"","",1,7,68109900,"",""
"AIR RFESHNER","CONSUMABLE","Nos",0,1,0,"","","","2026-12-31 00:00:00",730,"","",1,7,68109900,"",""
"BATTERIES CELL","CONSUMABLE","Nos",0,1,0,"","","","","","","",3,7,68109900,"",""
"HAND SANITIZER","CONSUMABLE","Litre",0,1,0,"","","","","","","",5,7,68109900,"",""
"PAPER CUPS","CONSUMABLE","Nos",0,1,0,"","","","","","","",50,7,68109900,"",""
"PLANTS CLEANING & SHINNING SPARY","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"PLANTS POTS-","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"PAPER PLATE","CONSUMABLE","Nos",0,1,0,"","","","","","","",20,7,68109900,"",""
"SAFETY PINS","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
"SALT","CONSUMABLE","Kg",0,1,0,"","","","","","","",20,7,68109900,"",""
"SIGN BOARD","CONSUMABLE","Nos",0,1,0,"","","","","","","",1,7,68109900,"",""
